order_item_id,order_id,product_id,quantity
1,1,4,1
2,2,13,2
3,2,1,4
4,3,10,4
5,4,2,3
6,4,3,2
7,5,13,1
8,5,18,4
9,6,7,2
10,6,20,1
11,6,17,1
12,7,12,1
13,7,16,4
14,8,10,2
15,8,7,4
16,8,5,1
17,9,17,3
18,9,13,2
19,10,18,4
20,10,18,2
21,11,16,1
22,12,14,3
23,13,15,1
24,14,4,4
25,15,5,1
26,15,5,3
27,15,6,3
28,16,14,4
29,16,11,2
30,16,13,2
31,17,7,4
32,18,8,4
33,18,19,1
34,18,14,2
35,19,2,1
36,19,9,1
37,19,3,4
38,20,5,1
39,20,15,3
40,21,9,3
41,22,17,1
42,22,10,3
43,23,18,2
44,23,17,4
45,24,3,2
46,24,13,4
47,24,15,1
48,25,4,2
49,26,2,3
50,27,3,3
51,28,9,3
52,29,2,4
53,30,9,3
54,30,8,1
55,31,11,3
56,32,15,2
57,32,8,3
58,33,16,2
59,34,6,1
60,34,16,1
61,35,13,1
62,36,8,1
63,36,19,2
64,37,8,2
65,37,8,3
66,37,13,1
67,38,6,4
68,39,16,4
69,39,1,3
70,39,16,1
71,40,11,1
72,41,10,4
73,42,6,4
74,42,7,1
75,42,11,1
76,43,19,3
77,43,10,2
78,44,7,3
79,44,18,4
80,44,2,2
81,45,12,3
82,46,13,2
83,46,17,1
84,47,8,3
85,48,13,3
86,48,16,2
87,49,7,2
88,49,9,4
89,49,2,3
90,50,5,1
91,50,4,4
92,50,4,2
93,51,17,4
94,51,17,2
95,51,1,2
96,52,18,2
97,52,14,4
98,53,12,4
99,53,3,4
100,53,12,3
101,54,11,1
102,55,15,3
103,55,19,3
104,56,2,2
105,56,2,1
106,57,3,1
107,58,7,3
108,59,11,4
109,59,2,3
110,59,14,4
111,60,11,3
112,60,3,1
113,61,12,4
114,61,15,4
115,62,20,2
116,63,5,3
117,63,1,2
118,63,6,3
119,64,3,4
120,64,17,1
121,65,15,4
122,65,16,3
123,66,17,1
124,66,8,3
125,67,14,2
126,67,20,3
127,67,3,1
128,68,3,4
129,69,15,1
130,69,14,3
131,70,12,4
132,71,6,4
133,72,2,4
134,73,13,1
135,73,8,1
136,73,18,2
137,74,14,3
138,74,6,4
139,75,13,1
140,75,1,4
141,75,6,1
142,76,19,4
143,76,9,1
144,76,12,1
145,77,15,4
146,77,20,1
147,78,8,4
148,78,18,4
149,79,2,1
150,80,9,1
151,81,1,1
152,81,20,2
153,82,7,2
154,82,6,3
155,83,14,2
156,83,18,3
157,84,10,3
158,84,12,1
159,85,3,3
160,85,6,1
161,85,6,1
162,86,9,2
163,86,12,4
164,86,8,2
165,87,20,2
166,87,15,3
167,88,7,3
168,88,20,4
169,88,4,2
170,89,3,3
171,89,9,4
172,90,14,3
173,90,18,2
174,91,12,1
175,91,13,3
176,91,19,3
177,92,4,1
178,92,8,1
179,93,19,4
180,93,18,2
181,93,18,3
182,94,5,4
183,94,9,3
184,95,10,3
185,95,3,1
186,95,15,1
187,96,12,1
188,96,20,1
189,96,4,4
190,97,20,4
191,97,18,1
192,98,9,4
193,98,2,4
194,98,4,2
195,99,2,4
196,99,6,3
197,99,10,3
198,100,12,3
199,100,13,2
200,100,8,1
201,101,1,3
202,101,8,4
203,101,16,2
204,102,10,4
205,102,14,2
206,102,2,3
207,103,5,2
208,104,9,2
209,105,15,2
210,105,7,1
211,106,7,2
212,106,17,3
213,107,2,3
214,108,5,3
215,109,8,4
216,110,15,3
217,111,10,3
218,111,14,4
219,111,10,1
220,112,12,2
221,112,9,1
222,113,20,4
223,114,12,1
224,114,20,4
225,114,11,1
226,115,5,4
227,115,5,1
228,115,17,4
229,116,15,2
230,116,12,3
231,116,20,2
232,117,2,1
233,117,5,4
234,118,1,3
235,118,3,2
236,119,5,1
237,120,19,2
238,121,20,1
239,121,18,4
240,122,11,2
241,122,2,1
242,122,18,1
243,123,7,3
244,124,11,2
245,124,12,2
246,124,20,3
247,125,13,4
248,125,16,2
249,126,8,2
250,126,1,3
251,127,6,1
252,128,15,2
253,128,1,3
254,128,11,2
255,129,18,2
256,129,17,2
257,130,8,1
258,130,12,3
259,130,8,1
260,131,4,1
261,131,1,3
262,132,16,2
263,132,16,1
264,132,9,2
265,133,2,2
266,133,6,3
267,134,1,1
268,135,16,1
269,136,13,3
270,137,11,4
271,138,6,2
272,138,4,2
273,139,6,2
274,139,18,1
275,139,9,3
276,140,13,3
277,140,1,4
278,140,7,1
279,141,15,1
280,142,7,3
281,142,19,4
282,143,1,1
283,144,3,4
284,145,11,3
285,145,8,2
286,146,10,2
287,146,14,1
288,147,8,4
289,147,2,2
290,147,12,1
291,148,16,1
292,148,15,4
293,149,11,4
294,149,6,2
295,149,18,4
296,150,11,1
297,150,11,3
298,150,16,3
299,151,15,1
300,152,19,3
301,152,4,1
302,152,13,2
303,153,2,2
304,153,4,4
305,153,20,2
306,154,15,4
307,154,3,4
308,154,16,2
309,155,18,2
310,155,17,1
311,156,11,3
312,156,12,2
313,157,13,3
314,157,7,3
315,157,17,2
316,158,10,4
317,159,7,2
318,159,1,4
319,160,10,3
320,161,13,3
321,161,9,2
322,161,9,3
323,162,10,4
324,162,16,1
325,163,5,4
326,163,18,4
327,164,4,4
328,164,7,2
329,164,18,3
330,165,1,3
331,165,18,1
332,166,17,3
333,166,12,2
334,166,1,3
335,167,17,2
336,168,15,3
337,169,11,2
338,169,9,2
339,169,13,1
340,170,2,4
341,171,7,1
342,171,18,3
343,171,10,2
344,172,7,1
345,173,11,3
346,174,19,4
347,174,6,2
348,175,13,2
349,175,4,4
350,175,5,1
351,176,9,4
352,176,1,3
353,176,6,1
354,177,4,1
355,177,17,4
356,177,2,4
357,178,12,3
358,179,8,2
359,180,3,2
360,180,12,1
361,181,3,2
362,181,6,2
363,182,12,2
364,182,6,1
365,182,3,2
366,183,20,4
367,183,12,2
368,183,4,1
369,184,15,1
370,185,16,2
371,185,16,4
372,185,17,4
373,186,16,2
374,186,13,3
375,186,19,4
376,187,5,4
377,187,8,4
378,188,20,2
379,189,18,4
380,189,7,4
381,190,16,4
382,191,20,2
383,191,14,4
384,192,18,1
385,193,9,1
386,193,2,3
387,194,9,1
388,195,3,4
389,195,4,2
390,195,6,3
391,196,11,3
392,196,5,4
393,197,12,3
394,197,17,2
395,198,18,1
396,198,3,2
397,199,14,2
398,199,3,4
399,200,20,2
400,200,9,3
401,200,3,2
402,201,2,3
403,201,18,2
404,201,20,2
405,202,2,1
406,202,1,4
407,203,14,1
408,203,14,4
409,203,14,1
410,204,3,1
411,204,6,1
412,204,13,1
413,205,8,1
414,205,2,4
415,206,15,4
416,207,12,4
417,208,14,4
418,209,6,4
419,209,11,2
420,210,19,3
421,210,19,1
422,211,2,2
423,211,2,2
424,211,11,2
425,212,15,1
426,213,19,1
427,213,3,1
428,213,9,4
429,214,14,3
430,214,7,4
431,215,4,4
432,216,8,1
433,216,5,3
434,216,20,1
435,217,7,2
436,217,5,4
437,218,3,3
438,218,14,3
439,218,5,1
440,219,5,2
441,219,2,2
442,220,6,3
443,220,10,3
444,220,7,1
445,221,13,1
446,222,18,1
447,222,18,1
448,223,4,1
449,224,17,4
450,224,11,3
451,224,20,4
452,225,4,2
453,225,20,4
454,225,18,4
455,226,9,1
456,226,20,1
457,226,6,2
458,227,10,1
459,228,9,4
460,229,9,1
461,230,2,4
462,231,1,2
463,232,8,1
464,232,11,3
465,233,8,3
466,233,8,1
467,234,17,4
468,234,13,3
469,234,5,4
470,235,5,4
471,236,8,1
472,237,11,1
473,237,13,3
474,237,3,4
475,238,5,4
476,239,8,2
477,240,14,4
478,240,11,4
479,240,15,3
480,241,19,4
481,241,19,3
482,241,5,1
483,242,8,4
484,242,10,2
485,243,16,4
486,243,17,3
487,243,8,4
488,244,9,2
489,245,18,3
490,245,17,4
491,245,4,2
492,246,9,1
493,247,18,2
494,247,4,4
495,248,8,2
496,248,13,1
497,248,16,4
498,249,11,2
499,249,15,1
500,250,9,1
501,250,8,3
502,251,18,2
503,251,20,2
504,252,12,4
505,253,14,1
506,253,3,2
507,253,7,1
508,254,15,2
509,255,13,2
510,256,8,2
511,257,7,3
512,257,12,4
513,258,11,1
514,258,13,2
515,258,2,1
516,259,15,4
517,260,18,3
518,260,15,3
519,260,12,1
520,261,11,1
521,261,1,4
522,262,19,3
523,262,7,4
524,262,15,1
525,263,15,4
526,264,16,4
527,264,1,4
528,265,3,1
529,266,10,2
530,266,11,1
531,266,10,1
532,267,7,3
533,267,2,1
534,268,9,4
535,269,10,2
536,269,12,1
537,270,14,1
538,270,2,1
539,271,20,3
540,272,6,4
541,272,19,1
542,272,4,3
543,273,4,4
544,274,3,2
545,274,5,2
546,275,8,3
547,276,10,2
548,277,4,4
549,277,13,4
550,278,7,4
551,279,14,3
552,280,16,2
553,281,20,4
554,281,2,2
555,281,18,3
556,282,19,1
557,282,14,3
